# Current standings: active roster only, from the same fit as ratings.tsv.
# Compare Elo only WITHIN one head and WITHIN this file (never across fits).
# Retired ('gone') agents are excluded by design; see ratings.tsv for the full history.
# eff_evaluator elides the turn weight t when the search cannot act on it (no qs/part):
#   t shifts every leaf by one constant at fixed depth, so it reorders nothing there.
#   Compare cores on eff_evaluator; 'evaluator' and 'id' keep the exact canonical form.
head	elo	pm	games	cpu_ms_move	active	eff_evaluator	evaluator	id
ab(deep=6,tt,ord,nodes=200k)@2	1292	12	3404	25.052	on	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=169,4975683c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1284	12	3404	25.900	on	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=602,68cbb27d,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1227	10	3404	26.276	on	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=349,5ee50d5c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1181	10	3404	27.209	on	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=603,2da121ee,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1163	9	3404	10.702	on	classic(chip=100)@2.opener(book,book=2)@1	classic(chip=100)@2.opener(book,book=2)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=2)@1
ab(deep=6,tt,ord,nodes=200k)@2	1161	9	3404	11.132	on	classic(chip=100)@2.opener(book,book=7)@1	classic(chip=100)@2.opener(book,book=7)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=7)@1
ab(deep=6,tt,ord,nodes=200k)@2	1158	9	3404	10.676	on	classic(chip=100)@2.opener(book,book=9)@1	classic(chip=100)@2.opener(book,book=9)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=9)@1
ab(deep=6,tt,ord,nodes=200k)@2	1157	9	3404	10.475	on	classic(chip=100)@2.opener(book,book=4)@1	classic(chip=100)@2.opener(book,book=4)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=4)@1
ab(deep=6,tt,ord,nodes=200k)@2	1155	9	3404	10.912	on	classic(chip=100)@2.opener(book,book=8)@1	classic(chip=100)@2.opener(book,book=8)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=8)@1
ab(deep=6,tt,ord,nodes=200k)@2	1154	9	3404	11.204	on	classic(chip=100)@2.opener(book,book=14)@1	classic(chip=100)@2.opener(book,book=14)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=14)@1
ab(deep=6,tt,ord,nodes=200k)@2	1147	9	3404	27.926	on	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=351,42d88d8e,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1143	9	3404	11.140	on	classic(chip=100)@2.opener(book,book=13)@1	classic(chip=100)@2.opener(book,book=13)@1	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2.opener(book,book=13)@1
ab(deep=6,tt,ord,nodes=200k)@2	1135	9	3404	17.973	on	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=441,01db390c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1135	9	3404	18.006	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=10)@1
ab(deep=6,tt,ord,nodes=200k)@2	1134	9	3404	28.416	on	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=171,10d3530c,tdleaf_self,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1129	9	3404	18.919	on	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=96,990e39e7,pool_games,lin,shape=129-1)@1
ab(deep=6,tt,ord,nodes=200k)@2	1125	9	3404	16.810	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=4)@1
ab(deep=6,tt,ord,nodes=200k)@2	1125	9	3404	18.250	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=15)@1
ab(deep=6,tt,ord,nodes=200k)@2	1124	9	3404	11.133	on	classic(chip=100)@2	classic(chip=100)@2	ab(deep=6,tt,ord,nodes=200k)@2.classic(chip=100)@2
ab(deep=6,tt,ord,nodes=200k)@2	1124	9	3404	17.154	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=12)@1
ab(deep=6,tt,ord,nodes=200k)@2	1123	9	3404	18.106	on	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=16)@1	learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=16)@1	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=98,5801570e,pool_games,lin,shape=129-1)@1.opener(book,book=16)@1
